Id,Category,Title,Description,Price,Link,Rating,Image_1,Image_2,Image_3,Image_4
1,Gaming Headsets,"Logitech G733 Lightspeed Wireless Gaming Headset with Suspension Headband, Lightsync RGB, Blue VO!CE mic technology and PRO-G audio drivers - Black","Total freedom with up to 20 meter wireless range and Lightspeed wireless audio transmission. Keep playing for up to 29 hours of battery life. Play in stereo on PlayStation(R) 4.
Personalize your headset lighting across the full spectrum, 16.8 M colors. Play in colors with front-facing, dual-zone Lightsync RGB lighting and choose from preset animations or create your own with G HUB software.
Colorful, reversible suspension headbands are designed for comfort during long play sessions.
Advanced mic filters that make your voice sound richer, cleaner, and more professional. Customize with G HUB and find your sound.
Hear every audio cue with breathtaking clarity and get immerse in your game. PRO-G drivers are designed to significantly reduce distortion and reproduce precise, consistent, rich sound quality.
Soft dual-layer memory foam that conforms to your head and reduces stress points for long-lasting comfort.
G733 weighs only 278 gram for long-lasting comfort.",116.99,https://www.newegg.com/logitech-g733-981-000863-black-usb/p/N82E16826197401,4.2,./productsNewgg/Item_1.1.png,./productsNewgg/Item_1.2.png,./productsNewgg/Item_1.3.png,./productsNewgg/Item_1.4.png
2,Gaming Headsets,"Razer BlackShark V2 X Gaming Headset: 7.1 Surround Sound Capable - 50mm Drivers - Memory Foam Cushion - for PC, PS4, Nintendo Switch - 3.5mm Headphone Jack - Classic Black","The #1 Best-Selling Gaming Peripherals Manufacturer in the US: Source - The NPD Group, Inc. U.S. Retail Tracking Service, Keyboards, Mice, PC Headset/Pc Microphone, Gaming Designed, based on dollar sales, Jan. 2017- Dec. 2019
Immersive, 7.1 Surround Sound for Positional Audio: Outfitted with custom-tuned 50 mm drivers, capable of software-enabled surround sound (only available on Windows 10 64-bit)
Triforce Titanium 50mm High-End Sound Drivers: Outfitted with cutting-edge, 50mm drivers divided into 3 parts for individual tuning of highs, mids, and lows
Lightweight Design with Memory Foam Ear Cushions: Oval, cooling gel-infused cushions that prevent overheating and pressure build-up
Noise Isolating Microphone: An improved cardioid mic reduces background and ambient noises for crystal-clear communication",49.99,https://www.newegg.com/razer-rz04-03240100-r3u1-black/p/1VH-000G-001F0,3.9,./productsNewgg/Item_2.1.png,./productsNewgg/Item_2.2.png,./productsNewgg/Item_2.3.png,./productsNewgg/Item_2.4.png
3,Gaming Headsets,"ASUS ROG Delta II Wireless Gaming Headset (50mm Titanium Drivers, ROG SpeedNova, 10mm Super-Wideband Mic, 110+HR Battery, DualFlow Audio, BT, 2.4 GHz, 3.5 mm, For PC, Switch, PS4, PS5, Xbox) - Black","Tri-mode connectivity: Connect via Bluetooth or low-latency 2.4 GHz with ROG SpeedNova wireless technology, as well as a wired 3.5 mm analog connection
DualFlow Audio with intuitive controls: Listen to audio from two connected 2.4 GHz and Bluetooth devices simultaneously
50 mm titanium-plated diaphragm drivers: Ensure rich, detailed sound with wide 20 Hz-20 kHz frequency response
10 mm super-wideband boom microphone: Covers a wide frequency range to ensure detailed, clear voice
Multi-platform compatibility: Works with PCs, Macs, Nintendo Switch, PlayStation 4 & 5, Xbox(3.5mm), and mobile devices.
ASUS Aura RGB lighting: Show off your style with customizable effects",229.99,https://www.newegg.com/asus-a701-rog-delta-ii-blk-black/p/N82E16826785266,5,./productsNewgg/Item_3.1.png,./productsNewgg/Item_3.2.png,./productsNewgg/Item_3.3.png,./productsNewgg/Item_3.4.png
4,Gaming Headsets,"SteelSeries Arctis Nova Pro Wireless Multi-System Gaming Headset - Premium Hi-Fi Drivers - Active Noise Cancellation - Infinity Power System - Stealth Retractable Mic - PC, PS5/PS4, Switch, Mobile","Almighty Audio: Experience ultimate clarity and sound quality with Premium High Fidelity Drivers. Fully customize the sound experience with the Sonar Software by using a first-in-gaming Pro-grade Parametric EQ.
360° Spatial Audio: Immersive surround sound transports you to the gaming world, letting you hear every critical step, reload, or vocal cue to give you an advantage. *Fully compatible with Tempest 3D Audio for PS5 / Microsoft Spatial Sound.
Active Noise Cancellation: Immerse yourself in your virtual world as a specialized 4-mic hybrid system designed for gaming tunes out ambient noise. Use Transparency Mode with variable levels to adapt to any situation.
Infinity Power System: Hot-swap between using one battery while charging the other to keep your headset going and going and going.",322.46,https://www.newegg.com/steelseries-arctis-nova-pro-wireless-61520-black-usb/p/N82E16826249269,3,./productsNewgg/Item_4.1.png,./productsNewgg/Item_4.2.png,./productsNewgg/Item_4.3.png,./productsNewgg/Item_4.4.png
5,Gaming Headsets,Nacon RIG 500 PRO HA Gen 2 Competition Grade PC Gaming Headset with Dolby Atmos 3D Audio - 50mm Speaker Drivers Flip-to-Mute Mic Longer 1.5m Audio Cable,"HIGH FIDELITY SOUND. ENGINEERED FOR 3D GAME AUDIO: Featuring low distortion 50mm speaker drivers, this headset has been precisely tuned for 3D Game Audio; React faster and more accurately with 3D sound by Dolby Atmos for Headphones*, as you are able to detect the distance and direction of your threats - 2-Year Code included
SUPERIOR COMFORT: Weighing 9.9 ounces, and featuring lightweight exoskeleton earcups that offer comfort and stability during long gaming sessions; the dual-material ear cushions help block outside noise while also providing enduring comfort; RIG signature Snap-Fit (S/M/L) sizing and self-adjusting head strap will help you find the perfect fit
BUILT FOR PERFORMANCE: Featuring a pro grade flexible noise-cancelling mic, and a flip-to-mute function for focused gameplay; for solo gaming sessions, the microphone can be removed easily
GEN 2 AUDIO CABLE: Features a longer 1.5m, kink-resistant flat cable including in-line volume control with max lock position",59.99,https://www.newegg.com/nacon-rig-500-pro-ha-gen-2-black-copper/p/3EE-00A9-00001,5,./productsNewgg/Item_5.1.png,./productsNewgg/Item_5.2.png,./productsNewgg/Item_5.3.png,./productsNewgg/Item_5.4.png
6,Gaming Headsets,"Corsair Virtuoso RGB Wireless Gaming Headset - High-Fidelity 7.1 Surround Sound w/Broadcast Quality Microphone - Memory Foam Earcups - 20 Hour Battery Life - Works with PC, PS4 – Carbon, Premium","Experience uncompromising sound quality and immersive 7.1 surround Sound with a matched pair of precisely tuned 50 millimeter high-density neodymium speaker drivers, delivering a frequency range of 20Hz-40,000Hz – double that of typical gaming headsets
Long-lasting Comfort to wear all day with Premium Memory foam ear pads that conform to the shape of your head and a lightweight pillow-soft headband
Connect wirelessly for high-fidelity, ultra-low latency Audio and an exceptional 60ft signal range with hyper-fast Slipstream Corsair Wireless technology. Headphone Sensitivity - 109dB (plus/minus 3dB). Impedance - 32 Ohms at 2. 5 kHz
Make yourself heard with exceptional dynamic range and vocal clarity, thanks to a 9.5 millimeter broadcast-grade, Omnidirectional, high-bandwidth detachable microphone with Excellent low-end response
Built with lightweight, machined aluminum throughout, from the headband to the ear cups, ensuring both maximum comfort and long-term durability",199.99,https://www.newegg.com/corsair-virtuoso-rgb-wireless-ca-9011185-na-carbon-usb/p/N82E16826816137,4,./productsNewgg/Item_6.1.png,./productsNewgg/Item_6.2.png,./productsNewgg/Item_6.3.png,./productsNewgg/Item_6.4.png
7,Gaming Headsets,Razer Opus RZ04-03430100-R3U1 Bluetooth 5.0 and 3.5 mm connections Connector Circumaural Wireless THX Certified Headphones with Advanced Active Noise Cancellation,"THX Certified Headphones
Advanced Active Noise Cancellation (Anc) Technology
Bluetooth and 3.5 mm connections",112.99,https://www.newegg.com/razer-rz04-03430100-r3u1-rz04-03430100-r3u1-black-3-5mm/p/N82E16874153027,0,./productsNewgg/Item_7.1.png,./productsNewgg/Item_7.2.png,./productsNewgg/Item_7.3.png,./productsNewgg/Item_7.4.png
8,Gaming Headsets,"Logitech G435 LIGHTSPEED and Bluetooth Wireless Gaming Headset - Lightweight over-ear headphones, built-in mics, 18h battery, compatible with Dolby Atmos, PC, PS4, PS5, Nintendo Switch, Mobile - Black","Headphones fit type: Over-Ear. Frequency Response: 100Hz-8KHz
Total comfort: Breathable fabric earcups keep your ears cool during long play sessions, and the comfortable memory foam padding helps absorb sound waves to improve overall sound.
Versatile: the first headset with LIGHTSPEED wireless and low latency Bluetooth connectivity, providing more freedom of play on PC, smartphones, PlayStation and Nintendo Switch gaming devices
Lightweight: With a lightweight construction, this wireless gaming headset weighs only 5.8 oz (165 g), making it comfortable to wear all day long
Superior voice quality: Be heard loud and clear thanks to the built-in dual beamforming microphones that eliminate the need for a mic arm and reduce background noise
Immersive sound: This cool and colorful headset delivers carefully balanced, high-fidelity audio with 40 mm drivers; compatibility with Dolby Atmos, Windows Sonic for a true surround sound experience
Long battery life: 18 hours of battery",47.49,https://www.newegg.com/logitech-g435-981-001049-black-usb/p/N82E16826197485,3.9,./productsNewgg/Item_8.1.png,./productsNewgg/Item_8.2.png,./productsNewgg/Item_8.3.png,./productsNewgg/Item_8.4.png
9,Gaming Headsets,"GAMEPOWER Warlord USB Gaming Headset - 7.1 Virtual Surround Sound, Wired RGB Led Headphones with 50MM Drivers, Comfort Design, 360 Spatial Audio, Noise Cancelling Mic, PC, Laptop, Black","High-Quality Audio: Equipped with 50mm neodymium drivers delivering clear and powerful sound for an immersive gaming experience.
Comfortable Design: Lightweight and ergonomically designed with memory foam ear cushions for extended gaming sessions.
Immersive RGB Lighting: Dynamic RGB lighting enhances your gaming experience with customizable colors and effects.
Noise-Canceling Microphone: Detachable noise-canceling microphone ensures crystal-clear communication with teammates.
Durable Build: Robust construction with a flexible headband for long-lasting durability.",32.99,https://www.newegg.com/gamepower-warlord-black/p/3EE-00AN-00001?Item=9SIBVMZK9R0125&cm_sp=SP-_-2722620-_-0-_-2-_-9SIBVMZK9R0125-_-gaming%20headset-_-gaming|headset-_-9,0,./productsNewgg/Item_9.1.png,./productsNewgg/Item_9.2.png,./productsNewgg/Item_9.3.png,./productsNewgg/Item_9.4.png
10,Gaming Headsets,"HyperX Cloud Alpha - Gaming Headset, Dual Chamber Drivers, Legendary Comfort, Aluminum Frame, Detachable Microphone, Works on PC, PS4, PS5, Xbox One/ Series X|S, Nintendo Switch and Mobile – Red","Frequency response 15Hz–25,000 H.Headphones fit type:Over-Ear.The versatile Cloud Alpha is designed to work on PC, PS4, Xbox, Nintendo Switch, and other platforms with a 3.5mm port.
HyperX Dual Chamber Drivers for more distinction and less distortion
Signature award winning HyperX comfort
Durable aluminum frame with expanded headband
Detachable braided cable with convenient in line audio control
Detachable noise cancellation microphone
Compatible with PC, PS4, PS4 Pro, Xbox One, Xbox One S, Mac, Mobile, Nintendo Switch, VR",99.99,https://www.newegg.com/hyperx-4p5l1aa-abl-headset-black-red/p/0TH-02YR-000C5,3,./productsNewgg/Item_10.1.png,./productsNewgg/Item_10.2.png,./productsNewgg/Item_10.3.png,./productsNewgg/Item_10.4.png
